Crown of Thorns,Scud Mountain Boys,
Croydon,Captain Sensible,
Crucifixion,"Ochs, Phil",
Crucify,"Amos, Tori",
Cry Me A River,"London, Julie",
Crying to the Sky,Be Bop Deluxe,
Cum on Feel the Noize,Slade,
Cuntry Boys and City Girls,Fratellis,
Cut Across Shorty,"Cochran, Eddie",
Cuyahoga,REM,
Cvalda,Bjîrk,
Cynically Yours,"Rigby, Amy",
Da Cricket Loba Dagatama Lar Aw Bar Afghanan Loy Afghanistan,"Nangarhari, Latif",
Da Doo Ron Ron,Crystals,
Daddy's Little Girl,Speech Debelle,
"Daft Punk Is Playing At My House, (Soulwax Shibuya Daft Mix)",LCD Soundsystem,
Daisy Bell,Tin Hat Trio,
Dali's Garden Party,Television Personalities,
Dallas,Flatlanders,
Dalliance,Wedding Present,
Dal'ouna on the Return,"Atzmon, Gilad & Orient House Ensemble",
Dame Limones,Arc†ngel,
Damn I Wish I Was Your Lover,"Hawkins, Sophie B",
Dance Cleopatra,Prince Buster,
Dance of the Inhabitants of the Palace of King Phillip XIV of Spain,"Fahey, John",
Dance Stance,Dexy's Midnight Runners,
Dance to the Medley,Sly and the Family Stone,
Dance to the Underground,Radio 4,
Dance Yourself Clean,LCD Soundsystem,
Dancer With Bruised Knees,"McGarrigle, Kate & Anna",
Dancing in the Street,Martha & the Vandellas,
Dancing on Glass,Creatures,
Dancing on the Ceiling,"Fitzgerald, Ella",
Danger,Pylon,
"Dangerous Kitchen, The","Zappa, Frank",
Danny's All Star Joint,"Jones, Rickie Lee",
Dark End of the Street,Flying Burrito Brothers,
Dark Entries,Bauhaus,
Dark Star,Grateful Dead,
"Dark Was the Night, Cold Was the Ground","Johnson, Blind Willie",
Dark-Eyed Woman,Spirit,
"Darkness, Darkness",Youngbloods,
Darling Nikki,Prince,
Darlinghurst Nights,Go-Betweens,
Das Lied Von Der Erde (6th Movement Part 3),"Ferrier, Kathleen (Gustav Mahler)",
David Watts,Jam,
Dawn Chorus,Boards of Canada,
Daydream in Blue,I Monster,
Days,Kinks,
Days of Pearly Spencer,"McWilliams, David",
Daysleeper,R.E.M,
DC Comics and Chocolate Milkshake,Art Brut,
Deacon Jones,"Jordan, Louis & his Tympany Five",
Dead,Pixies,
Dead,They Might Be Giants,
Dead End Street,Kinks,
Dead Flag Blues,Godspeed You! Black Emperor,
Dead Leaves and the Dirty Ground,White Stripes,
Dead Man Walking,"Springsteen, Bruce",
Dead Skunk,"Wainwright, Loudon III",
Dear God,XTC,
Dear Mr. Gable,"Garland, Judy",
Dear Prudence,Siouxsie And The Banshees,
Death Cab for Cutie,Bonzo Dog Doo-Dah Band,
Death Is Not the End,"Cave, Nick and the Bad Seeds",
Death Is the Road to Awe,"Mansell, Clint , Kronos Quartet & Mogwai",
Death Letter,Son House,
Death of a Thespian,Themselves,
Death of Sarah Lucas,"Haines, Luke",
Death to Everyone,"Bonnie ""Prince"" Billy",
Death Valley '69,Sonic Youth,
Debaser,Pixies,
Debora,T. Rex,
Deceiver of Fools,Within Temptation,
Deception,Blackalicious,
Dedicated Follower of Fashion,Kinks,
Deep Blue Day,"Eno, Brian",
Deep Shadows,Little Ann,
Deeper Understanding,"Bush, Kate",
Definition,Black Star,
Delirium Tremens,"Moore, Christy",
Delusional,Tech N9ne (featuring Nikkiya),
Demented Bells of Rhymney,"Miller, Jonathan Thomas",
Democracy,"Cohen, Leonard",
Denim and Leather,Saxon,
Denis,Blondie,
Denise,Randy and the Rainbows,
Denomination Blues (Part 1),"Phillips, Washington",
Departure,Crystal Stilts,
Deportee (Plane Wreck at Los Gatos),"Parton, Dolly",
Der Mussolini,DAF,
Descobri Que Sou um Anjo,"Ben, Jorge",
"Desculpe, Babe",Os Mutantes,
Desolation Row,"Dylan, Bob",
Desperados Under the Eaves,"Zevon, Warren",
Detox Mansion,"Zevon, Warren",
Detroit City,"Jones, Tom",
Devil Rabbit,Guai Li,
Devil With the Blue Dress On,"Long, Shorty",
Diamond Joe,"Houston, Cisco",
Diamonds,"Mvula, Laura",
Diamonds and Rust,Judas Priest,
Diamonds and Rust,"Baez, Joan",
Diamonds are a Girl's Best Friend,"Monroe, Marilyn",
Diamonds are a Girl's Best Friend,"Monroe, Marilyn",
Diamonds are Forever,"Bassey, Shirley",
Diamonds From Sierra Leone,"West, Kanye",
"Diamonds, Fur Coat, Champagne",Suicide,
Diana Jones,"Byrd, Jonathan",
Diane,Therapy?,
Dice Man,Fall,
Did He Jump,Zounds,
Did Ye Get Healed,"Morrison, Van",
Did You See His Name,Kinks,
Diddley Bo,Seasick Steve,
Didgeridoo,Aphex Twin,
Didn't I (Blow Your Mind This Time),Delfonics,
Dies Irae from Requiem,"Verdi, Giuseppe",
Dieu Fumeur de Havanes,"Gainsbourg, Serge and Catherine Deneuve",
Different Drum,Lemonheads,
Different Drum,"Nesmith, Michael",
Different Trains: Europe During the War,"Reich,Steve, Kronos Quartet & Pat Metheny",
Digital Love,Daft Punk,
Dignified And Old,Modern Lovers,
Ding Dong Ding Dong,"Harrison, George",
Dinner Bell,They Might Be Giants,
Dip and Fall Back,Spinners,
Dirty Boulevard,"Reed, Lou",
Dirty Epic,Underworld,
Dirty Magazine,"Henry, Joe",
Dirty Magazine,"Sharp, Bree",
Dirty Money,Clipse,
Dirty Water,Standells,
Dishes,Pulp,
Disko Boy,Shantel,
Disney Girls (1957),Beach Boys,
Disney Time,"Cocker, Jarvis",
Disneyland,"Rice, Boyd and Friends",
Divide and Conquer,HÅsker DÅ,
Djed,Tortoise,
Do I Love You (Indeed I Do),"Wilson, Frank",
Do It,Pink Fairies,
